,train,val,iou
0,0.847397580360755,0.6266548205644656,0.8219751920606757
1,0.4425981222436978,0.4202048289470183,0.8869438493526884
2,0.3193156170921448,0.3116175876213954,0.8991074142010632
3,0.27837440638970107,0.28647414843241376,0.9002108960477755
4,0.24972007156182557,0.2501210583708225,0.9084956050976741
5,0.23555736262828875,0.23068496795036855,0.9163253483315565
6,0.22909889274682754,0.22938261142907998,0.9173009187963632
7,0.2117481997761971,0.21244000567075533,0.919017607333517
8,0.20080745296600538,0.20445951456442857,0.9209447643649533
9,0.19953177735591546,0.2124366487065951,0.9200611290134705
10,0.20254848992977387,0.19876021108566186,0.9228335282071098
11,0.18969558370419037,0.2010741644562819,0.9227751774336413
12,0.18597445235802576,0.18428053324803328,0.9277144195163833
13,0.18211960735229346,0.19414411389674896,0.9241673303439701
14,0.18941227872020158,0.2120400953751344,0.915686343725671
15,0.18122002692558828,0.18561033617991668,0.9247739857598248
16,0.18101891865715003,0.19577221648815352,0.9244378497065636
17,0.17948609093825021,0.18468032777309418,0.9253070434481675
18,0.17510626942683488,0.1822423707598295,0.9268893899708583
19,0.17689378368548858,0.19476367074709672,0.9217979283570138
20,0.17803998339252594,0.20768331526181635,0.9160807787159744
21,0.1782646741813574,0.1811656449467708,0.9267211877398965
22,0.1735410145842112,0.17298057369696787,0.9308741492197857
23,0.1722483288210172,0.17711773342811143,0.9293460372751051
24,0.16795747536115158,0.1832209208454841,0.9273425567996598
25,0.16728088823266518,0.17654774490839395,0.9287787498191786
26,0.164444526609702,0.17055893116272414,0.9314332802335015
27,0.16712035869176572,0.19128133241946882,0.9239090796390466
28,0.1672089499158737,0.1715722118432705,0.9304806797951767
29,0.1620566607094728,0.17039388551926002,0.9311973775468166
30,0.16488357299031356,0.19127451208157417,0.9234030626602455
31,0.16354177261774355,0.17019020135586077,0.9308479477579636
32,0.16048818100721407,0.17166521782294297,0.9288121483143802
33,0.15937615548953032,0.16756132378792152,0.9310127990432228
34,0.1646822688098137,0.1953916819049762,0.9232666034195054
35,0.16585216862268937,0.16724195369543174,0.9311950416985719
36,0.16318679161560842,0.17724633579834914,0.9315135088506701
37,0.15999255300714418,0.1718821842701007,0.9310340306692578
38,0.159859423740552,0.17374023680503553,0.9310879701295219
39,0.1574168307467913,0.16537897976545188,0.9329486770240776
40,0.1589078449476988,0.17032085168056,0.9302297705979792
41,0.15652130773434272,0.16518358886241913,0.9330430082790304
